"","success_time_no_guess","progress_no_guess","understanding","info_style","learning_style","query_total","Query_followup","usage_total","tool","experience","recruiting.years","AI_experience","pid","lib","is_professional"
"1",247,4,2,"1","0",12,9,21,"1",2,3,5,"P1","1",FALSE
"2",400,3,1,"1","0",12,9,21,"0",3,3,5,"P1","2",FALSE
"3",600,2,0,"1","1",7,2,14,"1",1,3,3,"P10","2",TRUE
"4",265,2,2,"1","1",7,2,14,"0",3,3,3,"P10","1",TRUE
"5",360,2,1,"0","0",14,5,22,"1",3,3,4,"P11","1",FALSE
"6",0,0,0,"0","0",14,5,22,"0",4,3,4,"P11","2",FALSE
"7",369.333333333333,3,1,"0","1",14,3,15,"1",2,3,3,"P12","2",TRUE
"8",184,1,0,"0","1",14,3,15,"0",1,3,3,"P12","1",TRUE
"9",277.25,4,1,"0","0",14,4,21,"1",3,4,5,"P13","1",TRUE
"10",0,0,0,"0","0",14,4,21,"0",1,4,5,"P13","2",TRUE
"11",441,1,0,"0","1",9,5,19,"1",1,3,4,"P14","2",FALSE
"12",200,1,1,"0","1",9,5,19,"0",2,3,4,"P14","1",FALSE
"13",0,0,2,"1","1",11,5,20,"0",1,4,2,"P15","1",TRUE
"14",242.666666666667,3,1,"1","1",11,5,20,"1",1,4,2,"P15","2",TRUE
"15",824,1,0,"0","0",13,0,14,"0",1,4,4,"P16","2",FALSE
"16",104.5,2,0,"0","0",13,0,14,"1",3,4,4,"P16","1",FALSE
"17",118,2,1,"0","1",10,4,13,"1",3,4,4,"P17","1",TRUE
"18",251,1,0,"0","1",10,4,13,"0",1,4,4,"P17","2",TRUE
"19",0,0,0,"1","0",8,5,19,"0",2,3,3,"P18","2",FALSE
"20",225,3,1,"1","0",8,5,19,"1",2,3,3,"P18","1",FALSE
"21",0,0,0,"1","1",7,2,9,"0",1,4,3,"P19","2",TRUE
"22",123,1,3,"1","1",7,2,9,"1",3,4,3,"P19","1",TRUE
"23",89,1,2,"0","1",11,4,18,"0",3,5,5,"P2","1",TRUE
"24",400,3,2,"0","1",11,4,18,"1",3,5,5,"P2","2",TRUE
"25",266,2,2,"0","1",7,3,8,"1",2,4,1,"P20","1",TRUE
"26",0,0,0,"0","1",7,3,8,"0",1,4,1,"P20","2",TRUE
"27",505,2,1,"1","0",4,1,8,"1",1,4,4,"P21","2",TRUE
"28",284.75,4,1,"1","0",4,1,8,"0",4,4,4,"P21","1",TRUE
"29",176.333333333333,3,0,"1","1",4,3,11,"0",1,3,1,"P22","1",FALSE
"30",325.333333333333,3,0,"1","1",4,3,11,"1",1,3,1,"P22","2",FALSE
"31",0,0,0,"0","1",7,3,18,"1",1,3,2,"P23","2",FALSE
"32",658,2,3,"0","1",7,3,18,"0",5,3,2,"P23","1",FALSE
"33",331.5,2,3,"1","0",6,4,14,"1",4,4,3,"P24","2",TRUE
"34",261,2,0,"1","0",6,4,14,"0",4,4,3,"P24","1",TRUE
"35",98,1,2,"0","1",5,1,5,"0",2,4,4,"P25","1",FALSE
"36",0,0,0,"0","1",5,1,5,"1",1,4,4,"P25","2",FALSE
"37",558,2,0,"1","1",5,0,5,"1",1,4,2,"P26","2",FALSE
"38",209.5,2,0,"1","1",5,0,5,"0",2,4,2,"P26","1",FALSE
"39",0,0,0,"1","0",5,0,10,"0",2,4,3,"P27","2",FALSE
"40",286,1,1,"1","0",5,0,10,"1",1,4,3,"P27","1",FALSE
"41",56,1,0,"0","1",14,7,15,"1",2,2,5,"P28","1",FALSE
"42",461,2,0,"0","1",14,7,15,"0",1,2,5,"P28","2",FALSE
"45",269,1,0,"1","0",7,0,11,"0",1,4,3,"P3","2",TRUE
"46",239,3,2,"1","0",7,0,11,"1",2,4,3,"P3","1",TRUE
"47",600,2,0,"1","0",9,1,20,"0",2,5,4,"P30","2",TRUE
"48",347,2,1,"1","0",9,1,20,"1",4,5,4,"P30","1",TRUE
"49",142,2,1,"0","0",7,1,11,"0",2,3,2,"P31","1",FALSE
"50",379,3,0,"0","0",7,1,11,"1",1,3,2,"P31","2",FALSE
"51",977,1,1,"0","1",7,2,10,"0",4,3,4,"P32","2",TRUE
"52",563,2,0,"0","1",7,2,10,"1",3,3,4,"P32","1",TRUE
"53",367,3,1,"0","0",4,1,19,"1",2,3,3,"P29","2",FALSE
"54",444,2,0,"0","0",4,1,19,"0",4,3,3,"P29","1",FALSE
"55",236.666666666667,3,2,"1","0",7,0,8,"1",4,4,2,"P4","2",TRUE
"56",828,1,3,"1","0",7,0,8,"0",2,4,2,"P4","1",TRUE
"57",323.666666666667,3,0,"1","1",8,6,23,"1",4,4,3,"P5","1",TRUE
"58",303.333333333333,3,0,"1","1",8,6,23,"0",2,4,3,"P5","2",TRUE
"59",376,1,0,"0","0",1,0,22,"1",1,4,3,"P6","2",FALSE
"60",241.5,2,1,"0","0",1,0,22,"0",3,4,3,"P6","1",FALSE
"61",588,1,0,"0","0",5,1,20,"0",1,4,4,"P7","2",FALSE
"62",1114,1,2,"0","0",5,1,20,"1",4,4,4,"P7","1",FALSE
"63",144,2,2,"1","1",12,4,18,"1",4,3,3,"P8","1",TRUE
"64",718,1,0,"1","1",12,4,18,"0",3,3,3,"P8","2",TRUE
"65",300,4,1,"1","0",6,5,19,"1",1,3,4,"P9","2",FALSE
"66",285,2,3,"1","0",6,5,19,"0",3,3,4,"P9","1",FALSE
